day,version,system,python_version,installer,downloads
2025-11-12,1.0.0,Windows,3.10.11,pip,2
2025-11-12,1.0.0,Linux,3.12.3,pip,6
2025-11-12,1.0.0,Linux,3.12.12,pip,2
2025-11-12,1.0.0,Linux,3.10.12,pip,1
2025-11-11,1.0.0,Windows,3.12.6,pip,2
2025-11-11,1.0.0,Linux,3.12.12,pip,4
2025-11-10,1.0.0,Darwin,3.14.0,pip,2
2025-11-07,1.0.0,Linux,3.12.3,pip,2
2025-11-07,1.0.0,Windows,3.12.4,pip,2
2025-11-04,1.0.0,Linux,3.11.8,pip,2
2025-11-01,1.0.0,Windows,3.13.3,pip,2
2025-11-01,1.0.0,Linux,3.11.8,pip,2
2025-10-31,1.0.0,Linux,3.12.3,pip,2
2025-10-29,1.0.0,Windows,3.12.5,pip,2
2025-10-26,1.0.0,Linux,3.12.3,pip,2
2025-10-25,1.0.0,Windows,3.13.9,pip,2
2025-10-24,1.0.0,Windows,3.12.10,pip,2
2025-10-23,1.0.0,Windows,3.14.0,pip,2
2025-10-23,1.0.0,Windows,3.13.2,pip,2
2025-10-23,1.0.0,Linux,3.12.12,pip,4
2025-10-23,1.0.0,Linux,3.12.11,pip,4
2025-10-23,1.0.0,Linux,3.10.14,pip,6
2025-10-22,1.0.0,Linux,3.10.11,pip,1
2025-10-22,1.0.0,Linux,3.11.14,pip,2
2025-10-21,1.0.0,Linux,3.10.18,pip,2
2025-10-21,0.9.2,Linux,3.10.16,pip,5
2025-10-20,1.0.0,Windows,3.14.0,pip,2
2025-10-19,0.9.2,Linux,3.10.11,pip,1
2025-10-18,1.0.0,Linux,3.11.6,pip,2
2025-10-15,1.0.0,Windows,3.14.0,pip,2
2025-10-15,1.0.0,Windows,3.13.7,pip,2
2025-10-15,1.0.0,Windows,3.12.4,pip,3
2025-10-15,0.9.2,Windows,3.12.4,pip,1
2025-10-15,0.9.2,Linux,3.11.14,pip,3
2025-10-14,0.9.2,Linux,3.10.19,pip,2
2025-10-13,1.0.0,Linux,3.10.19,pip,8
2025-10-11,1.0.0,Linux,3.12.6,pip,2
2025-10-11,1.0.0,Windows,3.12.0,pip,2
2025-10-10,1.0.0,Linux,3.11.13,pip,1
2025-10-08,1.0.0,Linux,3.11.13,pip,2
2025-10-07,1.0.0,Linux,3.11.8,pip,2
2025-10-07,1.0.0,Linux,3.10.18,pip,2
2025-10-06,1.0.0,Linux,3.12.11,uv,2
2025-10-04,1.0.0,Windows,3.9.11,pip,1
2025-10-04,1.0.0,Windows,3.13.3,pip,2
2025-10-04,1.0.0,Linux,3.11.8,pip,2
2025-10-03,1.0.0,Linux,3.11.8,pip,6
2025-10-01,1.0.0,Windows,3.10.6,pip,2
2025-10-01,1.0.0,Linux,3.11.8,pip,10
2025-09-30,1.0.0,Linux,3.11.8,pip,4
2025-09-30,1.0.0,Windows,3.13.7,pip,2
2025-09-29,1.0.0,Linux,3.10.18,pip,2
2025-09-28,1.0.0,Linux,3.11.8,pip,6
2025-09-27,1.0.0,Linux,3.11.8,pip,12
2025-09-27,0.9.2,Linux,3.11.8,pip,4
