day,version,downloads
2025-11-14,0.1.2,2
2025-11-13,0.1.2,2
2025-11-09,0.1.2,1
2025-11-08,0.1.2,2
2025-11-08,0.1.0,2
2025-11-06,0.1.2,1
2025-11-05,0.1.2,5
2025-11-04,0.1.2,6
2025-11-04,0.1.0,6
2025-10-31,0.1.2,3
2025-10-31,0.1.0,2
2025-10-29,0.1.2,2
2025-10-25,0.1.0,6
2025-10-25,0.1.2,6
2025-10-22,0.1.2,2
2025-10-21,0.1.2,3
2025-10-18,0.1.2,2
2025-10-17,0.1.2,2
2025-10-17,0.1.0,2
2025-10-16,0.1.2,5
2025-10-15,0.1.2,3
2025-10-15,0.1.0,3
2025-10-12,0.1.2,1
2025-10-10,0.1.0,2
2025-10-10,0.1.2,2
2025-10-06,0.1.0,2
2025-10-06,0.1.2,2
2025-10-02,0.1.2,1
2025-09-29,0.1.0,3
2025-09-29,0.1.2,3
2025-09-27,0.1.2,6
2025-09-27,0.1.0,4
2025-09-24,0.1.2,4
2025-09-24,0.1.0,3
2025-09-23,0.1.2,14
2025-09-23,0.1.0,7
2025-09-21,0.1.2,1
2025-09-19,0.1.0,2
2025-09-19,0.1.2,2
2025-09-18,0.1.2,2
2025-09-18,0.1.0,2
2025-09-17,0.1.0,4
2025-09-17,0.1.2,4
2025-09-16,0.1.2,7
2025-09-16,0.1.0,4
2025-09-12,0.1.2,2
2025-09-12,0.1.0,2
2025-09-11,0.1.2,2
2025-09-10,0.1.2,6
2025-09-10,0.1.0,6
2025-09-09,0.1.2,2
2025-09-07,0.1.2,1
2025-09-06,0.1.0,4
2025-09-06,0.1.2,4
2025-09-05,0.1.2,2
2025-09-05,0.1.0,2
2025-09-02,0.1.2,1
2025-09-01,0.1.2,9
2025-09-01,0.1.0,5
2025-08-29,0.1.2,1
2025-08-28,0.1.2,3
2025-08-27,0.1.0,2
2025-08-27,0.1.2,2
2025-08-25,0.1.2,1
2025-08-24,0.1.2,2
2025-08-24,0.1.0,2
2025-08-23,0.1.2,6
2025-08-23,0.1.0,6
2025-08-22,0.1.0,2
2025-08-22,0.1.2,2
2025-08-18,0.1.0,2
2025-08-18,0.1.2,2
2025-08-16,0.1.0,2
2025-08-16,0.1.2,2
2025-08-14,0.1.2,2
2025-08-14,0.1.0,2
2025-08-13,0.1.2,8
2025-08-13,0.1.0,6
2025-08-10,0.1.2,4
2025-08-10,0.1.0,2
2025-08-09,0.1.2,6
2025-08-09,0.1.0,4
2025-08-08,0.1.0,2
2025-08-08,0.1.2,2
2025-08-03,0.1.2,1
2025-08-02,0.1.2,2
2025-08-02,0.1.0,2
2025-07-31,0.1.2,5
2025-07-31,0.1.0,2
2025-07-30,0.1.2,2
2025-07-30,0.1.0,2
2025-07-29,0.1.0,7
2025-07-29,0.1.2,7
2025-07-27,0.1.0,6
2025-07-27,0.1.2,6
2025-07-18,0.1.2,2
2025-07-17,0.1.0,2
2025-07-16,0.1.2,4
2025-07-16,0.1.0,2
2025-07-15,0.1.2,2
2025-07-14,0.1.2,2
2025-07-14,0.1.0,2
2025-07-13,0.1.0,6
2025-07-13,0.1.2,6
2025-07-11,0.1.0,2
2025-07-11,0.1.2,2
2025-07-10,0.1.2,2
2025-07-08,0.1.0,2
2025-07-08,0.1.2,2
2025-07-06,0.1.2,2
2025-07-05,0.1.2,1
2025-07-04,0.1.0,2
2025-07-04,0.1.2,1
2025-07-03,0.1.0,2
2025-07-03,0.1.2,2
2025-07-02,0.1.2,2
2025-07-02,0.1.0,2
2025-06-29,0.1.2,1
2025-06-28,0.1.0,2
2025-06-28,0.1.2,2
2025-06-27,0.1.0,1
2025-06-23,0.1.2,2
2025-06-22,0.1.2,4
2025-06-22,0.1.0,4
2025-06-20,0.1.0,1
2025-06-20,0.1.2,1
2025-06-17,0.1.2,2
2025-06-15,0.1.2,3
2025-06-15,0.1.0,2
2025-06-14,0.1.0,4
2025-06-14,0.1.2,4
2025-06-12,0.1.2,1
2025-06-11,0.1.0,4
2025-06-11,0.1.2,4
2025-06-07,0.1.2,1
2025-06-06,0.1.2,4
2025-06-06,0.1.0,3
2025-06-05,0.1.2,1
2025-06-04,0.1.2,2
2025-06-04,0.1.0,2
2025-06-03,0.1.2,1
2025-05-31,0.1.2,1
2025-05-30,0.1.0,1
2025-05-30,0.1.2,1
2025-05-28,0.1.0,1
2025-05-28,0.1.2,1
2025-05-27,0.1.2,2
2025-05-27,0.1.0,1
2025-05-26,0.1.2,1
2025-05-25,0.1.0,4
2025-05-25,0.1.2,4
2025-05-24,0.1.2,2
2025-05-24,0.1.0,2
2025-05-20,0.1.0,4
2025-05-20,0.1.2,4
2025-05-19,0.1.0,2
2025-05-19,0.1.2,2
2025-05-18,0.1.2,2
2025-05-18,0.1.0,2
2025-05-17,0.1.2,1
2025-05-16,0.1.2,4
2025-05-16,0.1.0,4
2025-05-15,0.1.0,4
2025-05-15,0.1.2,4
2025-05-14,0.1.2,1
2025-05-08,0.1.2,3
2025-05-07,0.1.2,8
2025-05-07,0.1.0,6
2025-05-06,0.1.2,2
2025-05-06,0.1.0,2
2025-05-04,0.1.2,2
2025-05-04,0.1.0,2
2025-05-03,0.1.2,2
2025-05-03,0.1.0,2
2025-05-01,0.1.2,2
2025-05-01,0.1.0,2
2025-04-30,0.1.0,2
2025-04-30,0.1.2,2
2025-04-29,0.1.2,3
2025-04-29,0.1.0,3
2025-04-28,0.1.0,2
2025-04-28,0.1.2,2
2025-04-27,0.1.2,2
2025-04-27,0.1.0,2
2025-04-26,0.1.0,6
2025-04-26,0.1.2,6
2025-04-25,0.1.0,2
2025-04-25,0.1.2,2
2025-04-24,0.1.2,5
2025-04-24,0.1.0,4
2025-04-23,0.1.0,2
2025-04-23,0.1.2,2
2025-04-22,0.1.2,10
2025-04-22,0.1.0,8
2025-04-21,0.1.2,6
2025-04-21,0.1.0,6
2025-04-20,0.1.2,3
2025-04-20,0.1.0,2
2025-04-19,0.1.2,2
2025-04-19,0.1.0,2
2025-04-18,0.1.2,3
2025-04-18,0.1.0,2
2025-04-17,0.1.2,2
2025-04-17,0.1.0,1
2025-04-16,0.1.0,4
2025-04-16,0.1.2,3
2025-04-15,0.1.0,5
2025-04-15,0.1.2,5
2025-04-14,0.1.2,4
2025-04-14,0.1.0,4
2025-04-13,0.1.0,4
2025-04-13,0.1.2,4
2025-04-12,0.1.2,8
2025-04-12,0.1.0,8
2025-04-11,0.1.0,6
2025-04-11,0.1.2,6
2025-04-09,0.1.2,6
2025-04-09,0.1.0,4
2025-04-08,0.1.2,9
2025-04-08,0.1.0,6
2025-04-07,0.1.2,2
2025-04-07,0.1.0,2
2025-04-06,0.1.2,8
2025-04-06,0.1.0,6
2025-04-05,0.1.0,4
2025-04-05,0.1.2,4
2025-04-04,0.1.2,10
2025-04-04,0.1.0,8
2025-04-03,0.1.2,3
2025-04-03,0.1.0,2
2025-04-02,0.1.2,4
2025-04-02,0.1.0,4
2025-04-01,0.1.2,5
2025-04-01,0.1.0,4
2025-03-31,0.1.0,6
2025-03-31,0.1.2,6
2025-03-30,0.1.2,2
2025-03-29,0.1.0,2
2025-03-29,0.1.2,2
2025-03-28,0.1.2,3
2025-03-28,0.1.0,3
2025-03-27,0.1.0,2
2025-03-27,0.1.2,2
2025-03-26,0.1.2,6
2025-03-26,0.1.0,6
2025-03-24,0.1.0,2
2025-03-24,0.1.2,2
2025-03-23,0.1.2,4
2025-03-23,0.1.0,4
2025-03-22,0.1.2,6
2025-03-22,0.1.0,4
2025-03-21,0.1.2,3
2025-03-21,0.1.0,2
2025-03-20,0.1.0,4
2025-03-20,0.1.2,2
2025-03-19,0.1.0,10
2025-03-19,0.1.2,10
2025-03-18,0.1.0,5
2025-03-18,0.1.2,2
2025-03-17,0.1.0,6
2025-03-17,0.1.2,6
2025-03-16,0.1.2,5
2025-03-16,0.1.0,2
2025-03-15,0.1.2,8
2025-03-15,0.1.0,6
2025-03-14,0.1.2,3
2025-03-14,0.1.0,2
2025-03-13,0.1.2,10
2025-03-13,0.1.0,6
2025-03-12,0.1.2,11
2025-03-12,0.1.0,10
2025-03-11,0.1.0,5
2025-03-11,0.1.2,3
2025-03-10,0.1.0,10
2025-03-10,0.1.2,8
2025-03-09,0.1.0,5
2025-03-09,0.1.2,5
2025-03-08,0.1.0,4
2025-03-08,0.1.2,2
2025-03-07,0.1.0,8
2025-03-07,0.1.2,7
2025-03-06,0.1.0,8
2025-03-06,0.1.2,8
2025-03-05,0.1.2,6
2025-03-05,0.1.0,4
2025-03-04,0.1.2,10
2025-03-04,0.1.0,10
2025-03-03,0.1.2,10
2025-03-03,0.1.0,7
2025-03-02,0.1.0,8
2025-03-02,0.1.2,7
2025-03-01,0.1.2,9
2025-03-01,0.1.0,8
2025-02-28,0.1.2,10
2025-02-28,0.1.0,8
2025-02-27,0.1.2,37
2025-02-27,0.1.0,21
2025-02-26,0.1.2,160
2025-02-26,0.1.0,65
2025-02-25,0.1.0,123
